Product ID,Price,Competitor Price,Elasticity Index,Discount,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost
123,15.06,16.24,1.53,0.0,236,3.03,17.94,17.99
124,53.71,56.05,1.72,0.15,53,4.88,16.06,3.21
125,92.15,84.28,0.88,0.0,31,3.52,2.47,9.64
126,64.93,69.1,1.05,0.05,122,4.69,14.29,9.14
127,59.18,59.09,1.78,0.1,90,4.55,11.24,7.39
128,32.48,34.73,1.44,0.1,349,4.53,2.97,1.0
129,40.89,41.72,2.22,0.2,42,3.04,11.73,17.93
130,86.68,89.84,1.18,0.1,104,3.62,4.66,15.78
131,60.33,66.28,1.03,0.15,146,3.29,14.45,13.4
132,56.33,53.31,2.47,0.2,48,4.93,6.29,3.45
133,18.96,19.43,2.32,0.15,134,4.69,3.86,8.19
134,11.44,11.35,0.56,0.1,336,3.12,2.56,18.56
135,96.73,87.82,2.04,0.1,5,3.28,10.33,12.72
136,43.93,39.66,0.72,0.05,177,3.82,4.79,12.46
137,64.29,59.39,0.55,0.15,245,3.2,17.25,18.35
138,17.17,17.69,1.05,0.0,426,4.56,1.06,11.64
139,71.48,72.44,1.04,0.05,127,4.55,17.03,12.35
140,93.93,94.93,2.14,0.15,5,4.31,10.9,7.57
141,61.81,56.02,1.92,0.2,89,4.22,18.52,8.06
142,21.35,21.22,2.46,0.15,169,3.87,4.89,14.03
143,62.35,67.65,1.92,0.2,65,3.37,2.94,7.09
144,78.97,77.35,1.34,0.2,104,4.59,12.87,11.62
145,46.58,47.74,1.9,0.1,95,4.65,14.43,6.3
146,89.19,94.18,2.5,0.0,5,2.62,8.08,4.16
147,68.38,72.26,1.92,0.15,41,3.5,1.26,9.63
148,90.93,91.28,2.02,0.0,5,2.57,8.73,5.13
149,66.12,70.85,2.38,0.2,7,4.6,5.44,18.07
150,21.82,21.34,0.73,0.1,271,2.94,7.6,6.77
151,37.87,40.82,1.91,0.0,174,4.18,10.63,12.35
152,28.16,26.7,2.2,0.05,92,3.39,14.34,6.01
153,91.79,87.76,2.41,0.2,18,4.54,19.3,5.9
154,78.44,71.43,0.92,0.05,119,3.77,3.74,7.66
155,70.88,75.07,1.51,0.0,58,3.31,13.92,18.4
156,37.09,36.47,1.86,0.0,58,3.31,5.43,8.44
157,26.56,25.12,0.99,0.0,261,3.32,5.19,16.6
158,78.08,73.89,1.7,0.15,45,4.47,13.04,4.75
159,52.67,56.9,1.02,0.2,174,4.28,15.74,1.92
160,30.32,32.35,1.17,0.2,385,3.3,19.58,15.85
161,65.5,66.2,1.38,0.2,106,3.73,15.61,11.3
162,13.63,13.95,1.56,0.15,372,2.69,3.99,10.57
163,39.36,39.15,1.4,0.0,173,4.57,5.28,6.17
164,52.17,51.04,1.49,0.0,66,3.16,15.47,2.37
165,23.32,25.25,1.1,0.05,187,4.72,11.01,10.17
166,98.62,91.23,0.82,0.15,155,3.99,6.61,17.48
167,28.82,28.35,0.59,0.1,290,3.92,9.96,3.28
168,21.73,21.06,0.89,0.15,219,2.91,18.38,18.65
169,28.32,28.31,1.66,0.05,86,2.67,15.36,6.22
170,79.22,78.54,2.07,0.05,29,3.88,9.56,11.11
171,48.3,48.48,0.84,0.05,244,3.67,19.63,2.26
172,60.89,56.5,0.72,0.0,104,2.8,16.1,9.08
173,11.89,11.92,2.0,0.1,347,4.59,1.11,3.39
174,13.1,12.42,1.11,0.05,236,3.54,3.13,1.91
175,50.12,46.96,2.4,0.2,89,3.15,11.53,19.36
176,83.5,76.23,1.93,0.0,25,4.47,7.65,14.87
177,89.67,94.38,1.15,0.1,102,4.78,16.44,14.66
178,17.8,17.55,1.08,0.2,359,3.26,18.02,2.72
179,58.45,59.93,1.55,0.1,127,4.44,5.57,18.66
180,92.19,96.39,0.66,0.1,152,4.13,15.5,9.92
181,44.92,46.53,0.74,0.2,293,4.97,11.17,17.19
182,84.66,84.16,0.85,0.15,88,3.01,8.45,1.24
183,22.03,21.54,2.05,0.1,368,4.9,15.95,6.67
184,94.19,91.85,1.53,0.15,55,3.29,11.73,19.92
185,77.63,79.8,0.52,0.1,185,3.53,13.07,9.13
186,94.72,94.62,1.85,0.2,49,3.4,2.18,17.88
187,70.9,75.85,1.35,0.1,130,3.17,12.13,7.23
188,42.71,45.91,1.52,0.05,159,4.23,6.71,10.98
189,94.44,88.21,0.93,0.05,123,3.97,10.37,17.23
190,34.8,32.27,1.6,0.1,106,3.26,5.22,12.51
191,39.9,40.94,2.46,0.2,87,2.83,12.68,14.78
192,73.07,70.17,0.65,0.2,335,3.29,3.8,5.35
193,78.88,71.28,1.07,0.0,104,3.45,3.34,3.96
194,93.65,100.93,0.99,0.2,109,3.45,4.58,5.38
195,28.43,26.88,1.0,0.15,257,3.39,16.53,10.37
196,81.82,88.84,1.26,0.1,51,2.62,1.64,16.22
197,76.47,79.79,2.14,0.05,31,3.66,14.86,7.73
198,15.74,16.57,2.33,0.2,501,4.59,2.07,11.73
199,44.85,42.17,0.9,0.05,287,2.95,12.25,16.29
200,35.45,33.56,1.59,0.0,197,2.86,15.7,5.54
201,37.4,37.56,1.77,0.1,152,3.68,5.39,17.78
202,98.47,92.01,1.54,0.2,24,3.43,4.72,19.11
203,67.85,65.21,1.37,0.05,26,3.9,6.49,1.74
204,74.59,71.93,0.88,0.2,265,4.87,14.29,2.12
205,97.9,91.23,1.48,0.0,5,4.4,5.84,2.73
206,43.95,41.36,1.3,0.05,124,4.22,10.53,15.76
207,82.17,86.91,2.09,0.05,38,3.54,3.55,4.6
208,49.11,45.84,2.03,0.1,54,3.22,9.76,14.79
209,88.26,79.93,0.77,0.1,55,3.85,12.87,9.38
210,26.26,26.94,0.68,0.05,266,4.71,2.36,16.89
211,95.29,104.36,2.32,0.1,15,4.69,16.49,16.36
212,29.69,28.69,1.57,0.05,227,3.61,18.81,19.23
213,39.36,36.36,2.22,0.15,117,3.12,4.68,5.77
214,78.06,79.16,0.62,0.2,187,3.06,15.43,5.36
215,45.44,49.13,1.55,0.15,218,2.58,6.96,1.6
216,64.74,68.42,1.58,0.15,48,4.61,13.86,8.8
217,50.01,51.24,2.22,0.2,57,3.16,6.83,9.72
218,76.81,73.97,0.7,0.05,169,3.4,17.38,19.33
219,30.55,30.81,0.98,0.05,337,4.52,7.6,16.78
220,15.26,14.01,1.31,0.1,435,2.8,17.13,4.17
221,36.99,38.32,2.23,0.0,120,3.65,15.56,16.17
222,52.69,55.06,2.38,0.05,63,2.81,4.73,4.39
223,25.12,27.46,2.49,0.2,125,3.6,3.98,2.48
224,41.93,39.92,2.42,0.0,34,2.62,15.81,16.9
225,46.0,41.57,0.51,0.2,240,3.79,8.42,19.54
226,15.17,15.3,0.6,0.2,437,4.49,19.04,2.67
227,62.5,65.08,0.8,0.2,375,4.19,18.92,16.46
228,89.59,94.79,1.2,0.0,52,3.77,14.18,17.33
229,23.66,22.21,2.16,0.15,267,4.57,10.51,3.26
230,63.8,60.76,2.29,0.2,28,3.07,4.7,6.38
231,69.83,70.0,0.87,0.1,236,4.58,17.77,14.94
232,47.74,46.12,1.74,0.05,100,3.19,2.56,16.35
233,73.1,78.37,2.33,0.05,54,3.41,8.04,7.73
234,46.97,46.72,1.43,0.05,118,2.82,7.07,4.04
235,55.42,58.74,0.71,0.0,137,2.75,19.21,13.32
236,10.66,10.83,1.42,0.1,564,4.83,3.24,14.34
237,72.25,76.2,1.25,0.1,97,2.97,17.91,10.57
238,69.52,67.19,1.66,0.1,5,3.33,9.67,3.75
239,13.46,14.35,1.38,0.1,479,3.82,1.9,17.05
240,43.14,41.2,0.53,0.1,178,3.37,14.85,13.26
241,98.11,99.02,2.49,0.15,19,4.68,2.92,17.51
242,47.87,45.13,1.59,0.1,205,4.75,5.5,18.73
243,55.18,54.91,1.45,0.1,163,3.31,16.19,16.31
244,91.89,88.55,2.41,0.0,5,2.73,3.94,19.21
245,74.55,71.07,0.81,0.0,55,3.03,7.18,19.13
246,62.39,68.21,0.88,0.1,242,3.69,7.86,12.77
247,81.8,76.24,2.12,0.15,21,3.22,12.19,14.84
248,87.79,92.84,1.02,0.1,152,3.63,16.01,14.29
249,51.12,56.07,2.1,0.1,151,4.4,5.39,12.8
250,52.76,47.69,1.04,0.1,219,3.55,4.91,1.37
251,44.74,46.53,0.57,0.2,279,2.99,5.22,7.76
252,97.0,92.21,1.53,0.15,18,3.39,8.25,2.9
253,72.74,66.06,0.89,0.05,168,4.36,11.17,6.7
254,17.49,17.15,2.02,0.1,202,3.56,1.26,2.3
255,87.67,95.3,1.78,0.05,5,3.12,15.83,18.48
256,53.25,48.05,2.35,0.15,64,3.57,18.61,9.58
257,16.19,16.47,2.07,0.1,410,3.64,17.03,4.6
258,59.47,59.49,0.86,0.05,180,3.24,1.71,12.11
259,47.54,51.1,2.1,0.05,98,4.99,10.97,4.73
260,89.0,81.59,1.78,0.15,39,4.42,16.47,16.28
261,28.36,29.39,1.84,0.1,259,4.23,7.54,6.81
262,84.38,87.42,2.16,0.2,13,4.64,18.04,6.98
263,60.19,62.23,1.65,0.15,88,4.17,17.85,17.53
264,14.91,16.23,1.43,0.2,469,4.48,3.69,11.62
265,97.47,103.76,1.77,0.1,31,3.53,10.38,17.86
266,56.14,50.99,1.1,0.05,164,3.75,1.49,8.84
267,36.18,35.97,0.87,0.15,310,2.62,6.36,7.53
268,52.25,51.18,1.73,0.15,102,3.2,16.43,10.62
269,87.21,83.9,0.97,0.15,119,3.42,19.53,2.17
270,37.44,37.08,0.66,0.0,245,4.06,18.35,3.93
271,27.34,26.71,0.5,0.1,521,3.66,1.81,5.17
272,21.62,21.32,1.72,0.0,282,4.02,18.61,16.52
273,36.81,40.34,1.22,0.15,418,4.28,16.63,14.94
274,80.2,73.61,2.0,0.15,53,2.61,17.49,4.67
275,52.45,56.88,1.25,0.2,183,3.15,18.38,6.26
276,30.47,30.35,1.47,0.0,134,2.93,10.28,18.94
277,24.96,25.57,1.31,0.05,335,2.97,5.01,2.63
278,39.95,42.58,1.8,0.1,192,3.76,1.4,11.4
279,94.59,91.95,1.21,0.05,79,4.35,1.45,10.92
280,40.87,40.3,2.43,0.05,53,3.18,13.21,14.79
281,98.93,97.14,2.37,0.1,13,4.56,7.41,5.97
282,53.67,52.33,2.2,0.15,100,4.73,10.42,18.76
283,26.12,28.35,2.34,0.2,175,3.38,3.5,8.8
284,90.2,96.14,1.4,0.15,75,4.2,19.53,6.43
285,51.43,47.41,1.57,0.15,127,2.79,3.47,7.4
286,73.87,68.08,1.98,0.0,15,4.36,9.45,7.63
287,98.53,97.11,1.89,0.05,41,2.91,9.42,4.78
288,14.52,13.35,2.28,0.05,244,4.22,1.16,18.63
289,18.7,19.15,1.93,0.05,167,3.55,13.69,4.32
290,74.84,69.51,2.5,0.2,5,4.82,11.23,17.77
291,35.36,35.52,1.2,0.2,149,3.66,10.45,8.69
292,26.59,23.97,2.17,0.2,98,2.58,16.54,6.12
293,13.54,13.05,1.9,0.1,394,3.7,5.58,4.77
294,11.97,12.39,1.88,0.2,402,4.49,17.36,10.58
295,79.7,79.45,1.15,0.0,52,4.12,17.43,13.72
296,22.1,24.21,2.07,0.0,246,4.92,16.71,18.07
297,52.09,55.99,2.3,0.15,76,4.61,7.49,13.4
298,64.53,62.71,0.94,0.15,124,3.82,4.09,10.19
299,48.55,44.14,1.75,0.15,75,3.02,10.03,1.64
300,12.44,13.3,1.28,0.15,224,2.51,5.94,18.39
301,80.52,87.14,2.48,0.0,11,4.95,1.99,18.15
302,10.95,11.65,1.46,0.15,492,4.85,6.31,8.2
303,78.57,72.72,0.96,0.0,96,3.19,9.91,1.55
304,90.4,99.4,1.26,0.2,99,4.1,3.14,14.93
305,48.96,46.59,1.81,0.2,134,4.32,18.94,16.04
306,58.2,60.81,0.65,0.1,397,3.95,13.47,11.31
307,52.93,57.25,1.71,0.15,110,4.61,3.59,8.65
308,45.03,42.65,2.36,0.2,40,2.69,16.43,17.17
309,89.87,97.21,2.2,0.2,48,4.74,18.63,4.66
310,90.45,87.01,0.64,0.05,89,3.48,5.99,9.35
311,40.22,44.06,2.49,0.05,93,3.7,3.72,1.47
312,65.36,62.5,1.9,0.0,5,3.61,7.13,4.12
313,93.42,101.89,0.82,0.1,102,3.83,16.81,18.88
314,96.59,87.96,0.52,0.05,264,4.0,4.33,11.98
315,55.81,58.14,0.84,0.1,309,4.28,15.81,16.31
316,50.75,51.08,2.18,0.2,113,3.81,14.61,10.24
317,35.08,34.93,0.54,0.0,307,4.21,13.38,16.86
318,96.3,90.97,0.97,0.1,68,3.35,9.23,11.24
319,22.85,23.79,2.01,0.05,161,4.84,7.97,1.09
320,62.18,58.34,1.67,0.2,60,2.66,2.62,18.09
321,35.43,35.8,2.07,0.15,183,3.86,7.79,3.82
322,35.11,33.38,1.99,0.2,172,2.72,12.43,9.56
323,46.45,50.68,0.6,0.05,355,3.61,18.07,10.06
324,99.89,90.47,2.29,0.05,21,3.14,16.83,1.9
325,14.95,14.05,0.95,0.15,641,4.84,1.61,2.01
326,62.07,58.87,1.61,0.2,121,2.53,3.64,15.49
327,17.43,17.13,1.79,0.1,311,3.48,17.12,6.71
328,23.91,22.63,0.84,0.1,456,4.46,18.85,8.78
329,49.56,49.47,2.45,0.2,52,2.97,2.06,11.72
330,55.94,60.11,1.48,0.1,109,4.54,14.32,8.09
331,33.29,34.7,0.62,0.2,408,4.65,7.95,15.73
332,38.48,39.1,2.37,0.2,165,4.27,7.92,17.8
333,17.83,16.36,1.67,0.05,118,3.02,13.21,2.13
334,37.29,38.74,1.9,0.0,79,3.18,16.39,13.07
335,96.99,90.52,1.55,0.05,16,2.92,6.22,7.04
336,95.02,100.47,2.17,0.1,23,2.96,14.4,12.08
337,40.14,38.13,0.57,0.0,286,2.59,13.08,10.19
338,61.38,60.36,1.04,0.2,233,4.64,10.83,7.34
339,91.86,89.12,1.44,0.1,85,3.82,12.45,2.8
340,10.56,11.31,0.65,0.15,333,3.32,1.34,11.63
341,82.96,76.77,1.91,0.1,30,3.22,1.08,3.14
342,95.35,96.61,1.29,0.0,56,3.86,11.46,3.97
343,18.22,16.92,1.05,0.0,191,3.32,10.96,19.66
344,24.53,25.54,0.51,0.2,517,4.66,2.36,7.02
345,96.47,104.28,1.94,0.15,5,3.03,10.35,12.1
346,58.38,57.62,2.17,0.2,56,4.71,15.39,6.17
347,11.28,11.25,1.29,0.15,489,4.16,11.28,17.44
348,33.19,36.02,1.63,0.15,126,4.89,10.83,6.38
349,50.49,50.71,0.96,0.2,224,2.54,14.64,7.97
350,72.36,72.18,1.74,0.1,27,2.65,4.27,12.56
351,75.98,77.17,0.52,0.05,270,3.75,9.69,17.53
352,99.59,103.36,1.48,0.15,65,4.78,3.81,16.51
353,35.88,33.06,1.79,0.0,124,4.33,10.95,6.01
354,58.44,62.19,2.34,0.2,23,4.06,12.25,16.76
355,58.0,57.25,1.26,0.1,75,2.58,3.31,14.32
356,46.51,42.53,2.03,0.15,73,3.39,2.43,19.81
357,25.22,26.67,1.7,0.1,118,3.36,4.17,18.77
358,97.97,95.56,2.35,0.2,5,3.86,12.14,11.13
359,86.8,79.86,1.3,0.0,80,3.14,4.6,15.25
360,54.85,56.32,1.14,0.15,162,3.17,6.23,11.83
361,64.29,69.18,2.27,0.15,6,4.05,14.35,12.3
362,30.45,32.82,0.6,0.1,530,4.86,5.72,2.93
363,58.94,64.34,0.77,0.2,275,4.15,8.55,1.04
364,72.55,77.88,0.66,0.05,218,4.17,18.65,1.92
365,56.37,50.75,2.19,0.15,92,4.97,16.67,19.37
366,99.13,96.75,0.52,0.0,131,2.88,5.85,3.4
367,65.02,69.16,2.22,0.15,37,2.58,12.35,1.84
368,43.39,42.23,1.4,0.15,250,4.36,13.65,6.88
369,79.49,81.11,0.51,0.05,171,3.6,18.1,12.18
370,25.34,25.88,1.3,0.05,127,3.57,11.4,19.02
371,44.61,43.4,0.87,0.2,159,3.06,11.66,14.3
372,41.23,44.56,1.75,0.15,116,3.77,17.88,6.25
373,48.86,48.89,1.86,0.15,55,3.61,2.03,18.84
374,80.36,79.79,1.48,0.1,90,3.36,12.93,1.68
375,53.58,58.91,0.58,0.1,159,3.61,8.92,19.6
376,81.46,81.36,1.81,0.0,26,3.46,18.29,2.11
377,61.88,57.9,2.18,0.0,74,4.85,19.25,15.32
378,40.79,40.89,1.94,0.1,58,4.95,4.23,1.86
379,82.9,88.1,2.16,0.0,62,4.6,6.35,18.7
380,31.45,33.19,0.9,0.15,303,4.98,6.2,3.06
381,30.19,31.94,2.28,0.05,59,3.16,2.91,1.96
382,55.41,57.71,1.14,0.15,253,4.61,10.18,17.9
383,33.48,31.83,0.53,0.1,423,3.52,10.75,2.82
384,10.82,11.6,2.19,0.2,582,4.37,11.89,16.16
385,68.35,73.72,2.38,0.2,45,3.0,13.6,15.19
386,56.0,52.57,1.81,0.1,90,4.53,2.2,12.38
387,50.1,46.39,0.96,0.15,129,2.71,12.83,8.18
388,97.03,106.26,1.0,0.0,32,3.18,18.36,18.4
389,61.41,65.93,1.43,0.0,126,4.55,9.64,17.55
390,87.71,94.61,2.3,0.2,47,4.37,3.03,9.1
391,22.55,24.29,0.8,0.1,593,3.75,2.63,5.4
392,61.23,61.74,2.15,0.1,51,4.18,6.35,6.18
393,88.12,90.7,1.08,0.05,56,2.96,15.3,5.19
394,62.48,63.05,2.12,0.2,67,4.17,5.96,11.28
395,74.62,67.92,2.34,0.1,5,2.52,16.47,17.5
396,43.48,45.62,1.35,0.05,221,4.58,16.57,15.7
397,18.32,18.34,1.23,0.0,377,3.79,9.69,16.11
398,51.21,52.72,2.1,0.2,109,4.86,6.71,9.52
399,45.5,45.53,1.56,0.2,152,3.7,12.36,7.13
400,88.04,87.89,1.87,0.1,52,3.58,16.4,15.39
401,31.96,29.86,1.75,0.1,109,3.63,2.23,16.07
402,97.01,92.71,0.81,0.15,168,3.4,19.12,14.21
403,96.23,89.67,2.19,0.0,5,2.92,13.27,1.61
404,32.29,30.32,0.89,0.0,349,4.61,8.56,12.2
405,41.32,45.23,2.36,0.05,96,3.47,10.61,7.59
406,90.6,84.31,1.0,0.05,121,3.82,8.33,4.73
407,97.0,92.52,1.97,0.15,8,2.55,8.84,14.19
408,49.91,50.81,1.07,0.0,129,2.65,12.32,6.1
409,38.89,39.75,1.14,0.05,309,3.99,2.14,18.34
410,57.35,53.38,1.12,0.0,46,4.7,4.33,6.66
411,71.9,76.12,2.0,0.0,32,3.73,5.31,11.55
412,34.61,36.59,1.61,0.05,226,2.91,8.74,16.73
413,76.28,72.27,2.27,0.1,19,2.79,8.05,8.64
414,14.65,14.03,1.11,0.1,454,4.75,14.72,16.74
415,14.44,15.7,1.88,0.05,386,4.25,5.92,14.75
416,44.77,47.68,2.01,0.15,84,4.92,2.08,18.5
417,41.81,43.47,0.8,0.2,206,2.71,2.05,7.19
418,38.41,35.2,1.3,0.0,144,4.76,1.21,3.0
419,54.19,53.31,1.47,0.2,192,4.61,1.72,9.18
420,38.87,39.33,1.21,0.05,229,4.73,17.31,15.93
421,27.3,25.6,1.14,0.0,278,2.51,14.25,9.56
422,37.85,37.46,1.87,0.2,268,4.35,19.92,5.98
423,97.74,99.72,0.93,0.1,82,3.87,1.39,1.52
424,47.0,45.38,1.92,0.15,87,3.93,17.13,6.95
425,50.02,52.83,2.37,0.2,52,3.67,14.23,14.55
426,61.89,66.1,1.63,0.15,107,4.36,13.17,3.8
427,98.5,95.03,1.72,0.1,58,5.0,7.77,7.48
428,31.74,33.89,0.64,0.2,666,4.28,8.16,1.38
429,71.32,65.66,2.23,0.05,5,4.2,17.07,14.71
430,74.44,79.47,1.07,0.0,79,4.14,14.56,17.73
431,64.66,60.17,1.73,0.1,24,4.24,13.74,11.8
432,17.97,16.47,2.46,0.15,296,3.36,1.58,1.49
433,70.92,72.93,1.69,0.15,62,3.3,4.5,5.13
