Price,Competitor Price,Discount,Elasticity Index,Storage Cost,Return Rate (%),Customer Reviews,Demand
1998.5,1946.75,0.34,1.56,29.54,24.41,3.02,50
190.77,195.3,0.16,0.97,22.83,22.26,4.0,1957
839.95,875.9,0.28,0.82,21.93,19.61,3.18,1387
1124.21,1153.49,0.12,1.43,26.72,15.85,3.18,603
1794.29,1885.72,0.15,1.35,38.3,13.89,3.96,50
1663.91,1706.95,0.26,1.66,18.64,7.36,3.81,50
1257.83,1283.88,0.28,1.43,21.52,23.11,3.4,124
857.34,848.03,0.34,0.87,9.91,3.19,4.25,1961
1685.51,1633.03,0.29,1.02,18.48,8.76,4.66,751
1751.21,1754.35,0.27,1.08,16.28,18.68,2.84,271
1756.62,1794.78,0.01,1.11,18.87,17.58,4.34,164
1463.51,1442.73,0.05,0.66,31.62,20.96,3.34,841
285.8,285.29,0.07,1.1,11.32,17.78,3.72,1835
667.3,649.25,0.21,0.53,21.37,12.87,3.32,1539
1023.25,1005.44,0.13,1.12,5.37,21.08,3.41,929
1059.6,1030.05,0.3,1.06,20.27,10.88,3.79,1254
1682.46,1787.75,0.18,0.77,13.57,10.43,3.36,991
551.89,557.71,0.34,0.85,36.93,22.34,3.84,1983
1362.72,1303.7,0.19,1.12,32.59,23.47,3.5,549
810.98,802.51,0.31,1.53,32.51,2.69,3.66,1124
1573.42,1625.18,0.33,0.66,20.35,5.76,4.08,1450
471.97,481.44,0.17,1.03,9.9,21.46,4.05,1740
1005.59,988.3,0.09,0.95,17.81,22.96,4.79,958
296.76,298.77,0.18,1.65,6.09,9.14,4.46,2069
502.78,501.07,0.11,1.02,35.92,9.0,2.96,1408
1876.83,2076.34,0.06,1.68,20.87,13.16,3.1,50
700.49,654.8,0.29,1.22,17.95,19.26,4.34,1569
1796.66,1865.41,0.0,0.58,32.76,6.03,4.21,1084
1096.18,1023.49,0.26,1.54,21.43,22.26,3.17,382
174.16,184.56,0.19,0.71,30.37,18.68,2.82,1999
1606.67,1595.71,0.07,1.44,34.97,19.07,3.05,50
198.72,207.1,0.28,1.76,36.63,17.32,3.29,1713
1671.19,1721.4,0.15,1.8,22.66,19.71,4.64,50
116.72,107.27,0.1,1.04,37.38,8.92,4.93,2266
1380.81,1485.06,0.13,0.91,15.25,24.91,3.08,775
414.86,424.77,0.07,1.76,23.67,15.54,3.83,1418
751.46,722.74,0.1,0.86,13.23,22.59,4.58,1584
1910.23,1877.74,0.04,1.76,29.6,20.33,3.52,50
1023.84,1048.55,0.27,0.77,18.23,21.01,4.74,1624
1349.11,1447.04,0.0,1.73,5.44,7.82,4.8,50
1507.4,1620.09,0.13,0.6,39.32,4.42,3.68,1293
308.86,318.89,0.1,0.87,37.58,4.97,3.58,1764
1693.71,1544.8,0.29,1.15,12.54,13.5,4.04,506
1836.45,1759.03,0.31,1.31,5.74,6.88,3.77,50
395.3,424.83,0.1,0.55,34.19,9.23,4.23,2014
1137.85,1105.69,0.14,0.8,36.78,19.02,2.88,1204
638.66,652.09,0.2,0.72,5.32,9.28,4.16,2116
1507.23,1549.97,0.21,1.33,12.84,2.58,3.57,366
153.71,165.14,0.27,0.97,22.8,3.48,4.26,2341
1073.84,1078.76,0.22,1.21,21.71,8.33,3.35,1063
1606.35,1621.76,0.19,1.04,10.6,14.27,4.52,859
1496.0,1549.9,0.3,1.02,25.6,17.36,4.67,893
305.55,314.28,0.24,1.47,11.98,11.9,2.87,1521
1682.59,1734.32,0.16,0.61,19.86,16.39,4.33,1366
551.9,557.81,0.24,0.92,10.47,2.2,3.19,1850
1634.8,1794.73,0.28,1.4,37.94,3.57,4.59,284
1044.54,1011.61,0.12,1.59,10.18,22.41,3.44,395
405.57,433.84,0.19,1.45,10.05,8.93,4.11,1837
1494.68,1513.15,0.22,1.19,39.93,16.66,4.47,418
1635.03,1642.66,0.23,1.48,25.47,14.88,4.82,50
1427.91,1386.58,0.06,1.54,20.64,3.62,4.91,223
1933.21,2002.18,0.18,1.46,5.96,20.32,4.53,50
586.67,608.79,0.18,1.52,33.99,4.4,2.82,1320
547.95,565.96,0.04,0.92,30.63,3.57,4.18,1668
379.74,385.21,0.33,0.69,31.04,24.53,4.39,2385
1124.87,1168.39,0.31,1.66,8.59,14.2,4.67,720
858.95,778.69,0.04,1.45,12.86,10.49,4.21,818
777.66,737.37,0.2,0.82,32.08,2.94,4.96,1921
974.58,976.32,0.34,0.56,15.06,18.02,2.97,1739
621.63,650.63,0.03,1.13,16.87,20.59,4.42,1285
108.09,107.34,0.34,1.62,8.72,7.03,4.82,2500
996.33,1057.94,0.02,0.95,35.06,17.89,4.61,1039
624.18,666.78,0.33,0.53,8.71,16.54,4.62,2194
954.59,1004.29,0.04,1.4,15.94,12.59,4.75,1107
1864.86,1944.13,0.1,1.75,20.37,5.59,3.46,50
440.11,408.6,0.25,0.86,15.15,7.43,4.96,2291
1311.22,1284.72,0.01,1.68,17.69,10.74,4.33,50
1324.39,1339.39,0.21,1.0,14.59,8.63,2.81,835
634.46,673.79,0.23,1.38,27.94,23.25,3.57,1245
994.69,1009.5,0.29,0.95,22.58,20.68,4.86,1510
1942.26,2106.94,0.1,1.16,18.36,22.85,3.88,50
750.67,807.75,0.15,0.8,35.04,18.33,2.85,1271
1453.46,1516.4,0.25,0.84,14.38,18.13,4.69,1124
1696.42,1735.03,0.19,1.45,32.04,14.27,3.66,50
785.31,785.76,0.07,1.53,29.25,16.74,3.07,593
1980.84,2208.0,0.24,1.52,10.17,16.36,4.78,50
1289.15,1359.82,0.33,1.63,19.14,11.49,3.8,288
1051.87,997.1,0.14,1.6,10.12,13.21,2.82,134
1458.32,1516.85,0.04,0.55,27.04,24.78,4.39,1337
905.28,886.74,0.04,1.34,30.33,11.28,4.7,792
1453.42,1567.9,0.23,1.44,15.57,18.74,3.8,190
622.12,699.26,0.24,0.74,36.74,9.84,3.25,1830
1861.7,1973.8,0.33,1.7,28.68,16.44,2.87,50
1129.73,1168.86,0.22,1.56,27.23,10.52,3.68,553
559.13,557.4,0.01,1.11,21.82,23.48,4.85,1521
930.67,900.19,0.25,1.2,36.21,19.13,4.75,1150
1800.68,1902.71,0.26,0.95,7.33,13.05,4.99,947
1633.41,1661.16,0.03,1.68,34.95,16.77,2.87,50
1020.49,1052.61,0.04,0.57,15.06,17.39,2.96,1403
768.23,789.22,0.31,0.83,32.56,14.92,3.79,1836
814.87,838.42,0.22,0.57,8.66,15.94,3.94,1967
1964.27,1988.23,0.22,0.99,6.33,11.54,4.37,253
313.2,317.85,0.21,1.53,32.12,17.87,4.68,1992
1789.15,1778.19,0.06,1.54,32.81,6.77,4.17,50
1729.46,1810.88,0.06,0.74,22.52,23.16,4.17,878
526.34,531.94,0.21,0.77,16.11,21.44,2.97,1888
763.78,776.04,0.24,1.07,6.83,7.78,4.66,1756
1182.16,1196.03,0.09,1.33,18.64,9.91,4.83,763
1624.55,1793.0,0.15,1.24,12.0,15.55,2.99,50
1905.85,2005.84,0.09,1.38,30.55,18.95,4.13,50
1984.44,2090.74,0.14,1.14,15.53,3.83,3.27,50
634.34,727.91,0.16,1.76,15.18,5.1,4.17,1209
465.49,466.24,0.08,0.52,11.16,5.31,3.87,2255
1026.68,1019.06,0.1,0.71,39.71,3.9,2.81,1072
1159.37,1191.74,0.09,1.17,11.53,5.2,4.73,849
1347.74,1319.81,0.02,1.55,7.71,22.53,3.62,50
304.42,319.32,0.34,0.84,25.96,5.62,4.72,2345
1328.08,1268.24,0.11,1.72,11.0,14.83,4.35,50
1850.62,1879.24,0.16,1.79,34.96,14.16,3.54,50
1838.88,1815.91,0.31,0.58,24.05,18.24,3.11,1050
1893.17,1882.31,0.16,1.47,30.43,23.45,2.94,50
1852.45,1683.35,0.24,1.69,30.5,23.78,2.8,50
1925.48,1876.8,0.03,1.45,20.02,5.38,3.3,50
192.52,204.1,0.06,0.71,38.89,13.15,4.22,2062
1840.43,1975.28,0.16,0.53,39.7,15.18,3.77,1174
615.3,601.75,0.27,1.54,18.8,19.93,3.38,1128
709.26,652.73,0.04,0.7,7.45,6.3,3.7,1618
971.37,985.6,0.25,1.58,19.7,18.23,4.0,815
1915.03,2071.22,0.18,1.45,19.96,22.65,4.7,50
1249.67,1191.46,0.09,0.59,14.68,24.64,2.84,1068
770.12,817.36,0.21,0.74,6.31,16.64,3.92,1776
810.9,814.13,0.02,1.07,36.28,15.81,4.08,951
1819.36,1902.01,0.17,1.37,5.69,18.43,3.96,50
1662.46,1673.7,0.3,1.1,29.64,24.41,3.9,329
361.32,350.63,0.07,0.73,20.21,23.84,4.21,1813
572.5,568.84,0.11,1.05,37.32,3.84,2.94,1406
